SourceFile,FileName,GPSLatitude,GPSLongitude,GPSAltitude
LUGASSON/lug00001054_560nm.tif,lug00001054_560nm.tif,44.7543852,-0.1687176,149.263
LUGASSON/lug00001055_560nm.tif,lug00001055_560nm.tif,44.7545365,-0.1687224,149.063004
LUGASSON/lug00001056_560nm.tif,lug00001056_560nm.tif,44.7546857,-0.1686741,149.563004
LUGASSON/lug00001057_560nm.tif,lug00001057_560nm.tif,44.7548474,-0.1686154,149.863007
LUGASSON/lug00001058_560nm.tif,lug00001058_560nm.tif,44.7550124,-0.1685768,149.962997
LUGASSON/lug00001060_560nm.tif,lug00001060_560nm.tif,44.7553338,-0.1686327,151.863007
LUGASSON/lug00001061_560nm.tif,lug00001061_560nm.tif,44.7554992,-0.1686577,154.162994
LUGASSON/lug00001062_560nm.tif,lug00001062_560nm.tif,44.7556572,-0.1686366,156.063004
LUGASSON/lug00001063_560nm.tif,lug00001063_560nm.tif,44.7558129,-0.16859,157.263
LUGASSON/lug00001064_560nm.tif,lug00001064_560nm.tif,44.7559564,-0.1685319,156.563004
LUGASSON/lug00001065_560nm.tif,lug00001065_560nm.tif,44.7561095,-0.1684307,155.662994
LUGASSON/lug00001066_560nm.tif,lug00001066_560nm.tif,44.7562737,-0.168324,156.063004
LUGASSON/lug00001067_560nm.tif,lug00001067_560nm.tif,44.7564343,-0.1682136,156.462997
LUGASSON/lug00001077_560nm.tif,lug00001077_560nm.tif,44.7559273,-0.1672116,156.462997
LUGASSON/lug00001083_560nm.tif,lug00001083_560nm.tif,44.7550031,-0.168131,149.662994
LUGASSON/lug00001087_560nm.tif,lug00001087_560nm.tif,44.7540823,-0.1683923,150.563004
LUGASSON/lug00001088_560nm.tif,lug00001088_560nm.tif,44.7538003,-0.1684239,152.962997
LUGASSON/lug00001089_560nm.tif,lug00001089_560nm.tif,44.7535175,-0.1684803,155.462997
LUGASSON/lug00001090_560nm.tif,lug00001090_560nm.tif,44.7532571,-0.1685522,154.263
LUGASSON/lug00001091_560nm.tif,lug00001091_560nm.tif,44.7530314,-0.1686055,152.662994
LUGASSON/lug00001092_560nm.tif,lug00001092_560nm.tif,44.7527986,-0.1686468,150.162994
LUGASSON/lug00001093_560nm.tif,lug00001093_560nm.tif,44.7525629,-0.1686916,146.662994
LUGASSON/lug00001094_560nm.tif,lug00001094_560nm.tif,44.7523438,-0.1687674,146.162994
LUGASSON/lug00001096_560nm.tif,lug00001096_560nm.tif,44.7518807,-0.1689186,148.863007
LUGASSON/lug00001097_560nm.tif,lug00001097_560nm.tif,44.7516397,-0.1689879,150.763
LUGASSON/lug00001098_560nm.tif,lug00001098_560nm.tif,44.7514092,-0.1690548,152.462997
LUGASSON/lug00001100_560nm.tif,lug00001100_560nm.tif,44.7509643,-0.1691689,152.462997
LUGASSON/lug00001102_560nm.tif,lug00001102_560nm.tif,44.7504652,-0.1692449,152.462997
LUGASSON/lug00001103_560nm.tif,lug00001103_560nm.tif,44.7502269,-0.1692686,150.563004
LUGASSON/lug00001104_560nm.tif,lug00001104_560nm.tif,44.7499993,-0.1693302,148.363007
LUGASSON/lug00001105_560nm.tif,lug00001105_560nm.tif,44.7497845,-0.1694282,147.363007
